seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
274,4316869,completed,1783538332.653,1783538333.771,974.403,975.521,1.118
275,3790948,completed,1783538334.030,1783538335.111,975.780,976.861,1.081
276,2942974,completed,1783538336.548,1783538337.970,978.297,979.719,1.422
277,2809832,completed,1783538338.270,1783538339.738,980.020,981.488,1.468
278,3680384,completed,1783538339.125,1783538340.287,980.874,982.036,1.162
279,2991811,completed,1783538340.856,1783538344.392,982.606,986.142,3.536
280,3209696,completed,1783538341.827,1783538345.097,983.577,986.847,3.270
281,3313131,completed,1783538344.607,1783538346.958,986.356,988.707,2.351
282,3051649,completed,1783538345.382,1783538346.239,987.132,987.989,0.857
283,3847291,completed,1783538347.660,1783538350.064,989.410,991.814,2.404
284,3004347,completed,1783538350.018,1783538354.327,991.767,996.076,4.309
285,3020726,completed,1783538350.992,1783538352.505,992.742,994.255,1.513
286,4078061,completed,1783538353.454,1783538354.157,995.204,995.907,0.703
287,3047299,completed,1783538355.380,1783538356.817,997.130,998.567,1.437
288,2793640,completed,1783538356.377,1783538359.040,998.127,1000.790,2.663
289,4184374,completed,1783538357.751,1783538358.989,999.501,1000.739,1.238
290,3885102,completed,1783538359.551,1783538360.941,1001.301,1002.691,1.390
291,4003802,completed,1783538361.408,1783538363.683,1003.157,1005.432,2.275
292,3639369,completed,1783538361.946,1783538365.121,1003.696,1006.871,3.175
293,2920383,completed,1783538363.277,1783538364.997,1005.027,1006.747,1.720
294,3004348,completed,1783538363.859,1783538365.623,1005.609,1007.373,1.764
295,2993920,completed,1783538364.597,1783538366.884,1006.347,1008.634,2.287
296,3055848,completed,1783538365.450,1783538366.826,1007.200,1008.576,1.376
297,3201874,completed,1783538366.045,1783538367.427,1007.795,1009.177,1.382
298,4464183,completed,1783538366.301,1783538367.923,1008.051,1009.673,1.622
299,3446997,completed,1783538367.087,1783538372.966,1008.837,1014.716,5.879
300,4361994,completed,1783538368.290,1783538372.986,1010.040,1014.736,4.696
301,3439326,completed,1783538368.847,1783538373.551,1010.597,1015.301,4.704
302,2926376,completed,1783538369.774,1783538373.349,1011.524,1015.099,3.575
303,3801012,completed,1783538371.265,1783538374.843,1013.015,1016.593,3.578
304,4190770,completed,1783538371.663,1783538374.622,1013.413,1016.372,2.959
305,4213884,completed,1783538373.508,1783538375.724,1015.258,1017.474,2.216
306,2726434,failed,1783538373.784,1783538373.787,1015.534,1015.537,0.003
307,3995948,completed,1783538374.290,1783538375.528,1016.040,1017.278,1.238
308,2762681,completed,1783538375.518,1783538381.252,1017.268,1023.002,5.734
309,3000120,completed,1783538376.180,1783538382.025,1017.930,1023.775,5.845
310,3280285,completed,1783538376.469,1783538381.720,1018.218,1023.469,5.251
311,4344793,completed,1783538377.057,1783538382.450,1018.807,1024.200,5.393
312,3360484,completed,1783538377.320,1783538382.835,1019.070,1024.585,5.515
313,4454502,completed,1783538377.706,1783538383.493,1019.456,1025.243,5.787
314,3338842,completed,1783538378.733,1783538381.624,1020.483,1023.374,2.891
315,2900024,completed,1783538379.522,1783538381.722,1021.272,1023.472,2.200
316,3493310,completed,1783538381.219,1783538382.022,1022.969,1023.772,0.803
317,4287631,completed,1783538382.138,1783538383.225,1023.888,1024.975,1.087
